;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
10;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458;10483.851566536458
11;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694;10958.192300496694
12;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016;10198.808650451016
13;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402;10130.454490668402
14;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432;11134.408466102432
15;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932;11384.757261414932
16;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943;10694.256383506943
17;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236;10827.67923689236
18;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486;11524.297207595486
19;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056;11028.481916493056
20;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487;8897.458429470487
21;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167;7601.891861979167
22;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502;7463.777882090502
23;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332;7253.111978202332
24;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671;4851.4381601671
25;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767;2876.8802613606767
26;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936;1742.3316010687936
27;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352;123.7762642827352
28;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551;-2826.483434289551
