;Tariff_mean;Tariff_max_1;Tariff_min_1;Tariff_max_2;Tariff_min_2;Tariff_max_3;Tariff_min_3
26;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
27;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
28;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
29;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
30;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
31;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
32;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
33;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
34;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
35;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
36;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
37;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
38;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
39;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
40;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
41;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
42;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
43;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
44;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
45;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
46;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
47;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
48;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
49;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
50;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
51;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
52;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
53;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
54;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
55;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
56;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
57;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
58;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
59;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
60;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
61;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
62;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
63;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
64;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
